case_name,baryon_profile_type,true_Vh2,true_rs,fitted_tdf_B,fitted_tdf_r0,fitted_nfw_Vh2,fitted_nfw_rs,teacher_student_mse,relative_curve_error_percent,max_fractional_error,mimic_success,best_model_by_bic,tdf_beats_baryon_by_bic,tdf_beats_nfw_by_bic,dataset_mode,is_real_observational_data,mimic_tolerance_percent,tdf_mimics_teacher,galaxy_id
dwarf_low_mass,saturating_disk,800.0,1.2,160.8751588959998,0.42766760810006615,776.0157053405588,1.4618332399380343,0.1355751242156318,0.9741427483433074,0.020359035189502155,True,nfw_simple,True,False,nfw_surrogate_validation,False,5.0,True,dwarf_low_mass
dwarf_extended_lsb,exponential_like,600.0,2.8,119.99462383221243,0.29438044674635805,613.4256658731001,1.6580378687756003,0.17905470592254635,1.7113651916366837,0.2540421003518172,True,nfw_simple,True,False,nfw_surrogate_validation,False,5.0,True,dwarf_extended_lsb
compact_dwarf,compact_bulge_disk,1500.0,0.9,249.39400742398624,0.06736403133753924,1321.3030494784407,0.7900580588788908,0.4662182625850388,1.5245279372436444,0.04893866291861016,True,tdf_simple,True,True,nfw_surrogate_validation,False,5.0,True,compact_dwarf
lsb_diffuse,exponential_like,2500.0,6.0,748.4123983488821,3.007959017984152,2873.6197618471083,7.1910268353018125,0.7101145238235759,1.8927022217492957,0.05715617554604029,True,tdf_simple,True,True,nfw_surrogate_validation,False,5.0,True,lsb_diffuse
spiral_mid_mass,saturating_disk,5500.0,7.0,1263.5731593153093,1.837750056260237,5306.596735244637,4.838730778949536,0.22703295959050968,0.5988759944321275,0.034351741436395807,True,nfw_simple,True,False,nfw_surrogate_validation,False,5.0,True,spiral_mid_mass
milky_way_like,saturating_disk,9000.0,10.0,2225.5108914895345,3.4751549122902277,8814.237681269386,9.014408598800694,0.19444038698353072,0.5000093527727645,0.024135650122227955,True,tdf_simple,True,True,nfw_surrogate_validation,False,5.0,True,milky_way_like
high_surface_brightness,compact_bulge_disk,12000.0,5.0,2960.0423540011393,1.9471468388012656,11973.83805931155,5.10657394956045,0.38059078329381035,0.48424847541731914,0.009134653196260806,True,nfw_simple,True,False,nfw_surrogate_validation,False,5.0,True,high_surface_brightness
massive_spiral,saturating_disk,18000.0,15.0,4553.475500746738,4.400644907689293,17609.585132252487,11.248564569589902,1.3159733381777867,0.8854495399593786,0.043083391925960925,True,tdf_simple,True,True,nfw_surrogate_validation,False,5.0,True,massive_spiral
extended_disk,exponential_like,8000.0,12.0,2122.3880102356193,4.9008513028321135,8088.665509035323,10.804074311718885,0.19560163422823407,0.5377118031188021,0.051860858271846846,True,tdf_simple,True,True,nfw_surrogate_validation,False,5.0,True,extended_disk
concentrated_halo,saturating_disk,14000.0,3.5,3096.888786838481,1.0223805530150427,14042.00928651522,3.351216848999079,2.229255879355357,1.5629094561964447,0.04190039894883195,True,nfw_simple,True,False,nfw_surrogate_validation,False,5.0,True,concentrated_halo
